Name,Race,Nationality,Best result (totally biased selection),Career start,Career end,Career end,Career duration
TANGTANG,Terran,South Korea,,11/30/14,9/2/15,9/2/15,10/2/00
Forte,Terran,South Korea,,3/11/12,12/31/15,Active,10/21/03
eins,Terran,South Korea,,5/29/13,5/27/14,5/27/14,12/28/00
BitByBit,Terran,South Korea,,10/13/10,1/3/13,1/3/13,3/23/02
dreamertt,Terran,South Korea,,10/26/11,3/26/13,3/26/13,5/31/01
NaTuRal,Terran,South Korea,,7/27/15,12/31/15,Active,6/5/00
Center,Terran,South Korea,,1/3/13,12/31/15,Active,12/27/02
Aphrodite,Terran,South Korea,,11/13/11,11/12/15,11/12/15,12/30/03
Sound,Terran,South Korea,,10/9/10,8/27/13,8/27/13,11/18/02
Sparta,Terran,South Korea,,9/3/11,7/7/13,7/7/13,11/3/01
MajOr,Terran,Mexico,IEM Season VIII - Sao Paulo top8,3/23/11,12/31/15,Active,10/9/04
Maker,Terran,Mexico,,3/24/11,11/18/14,11/18/14,8/27/03
Dayshi,Terran,Millenium,HomeStory Cup IX top4,4/30/11,12/31/15,Active,9/1/04
uThermal,Terran,Netherlands,IEM Season X - Shenzhen top8,10/21/11,12/31/15,Active,3/11/04
ServaNT,Terran,Netherlands,DreamHack Winter 2010 top8,7/27/10,4/26/12,4/26/12,9/30/01
Fenix,Terran,Peru,IEM Season V - American Championships winner,4/2/10,11/3/13,11/3/13,8/3/03
Tarson,Terran,Poland,IEM Season V - European Championships top4,6/10/10,10/20/13,10/20/13,5/12/03
Brat_OK,Terran,Russia,ASUS ROG Summer 2011 top4,3/15/10,7/16/13,7/16/13,5/3/03
Happy,Terran,Russia,IEM Season X - gamescom top12,3/23/11,12/31/15,Active,10/9/04
LucifroN,Terran,Spain,2012 World Championship Series: Europe top3,9/12/10,1/11/14,1/11/14,5/1/03
ThorZaIN,Terran,Sweden,2012 DreamHack Open Stockholm winner,8/10/10,6/16/13,6/16/13,11/6/02
SjoW,Terran,Sweden,IEM Season V - European Championships winner,5/13/10,3/16/14,3/16/14,11/3/03
Jinro,Terran,Sweden,2011 Sony Ericsson Global StarCraft II League January top4,3/29/10,8/6/12,8/6/12,5/10/02
Ball,Terran,Taiwan,2010 BlizzCon top12,10/9/11,2/15/14,2/15/14,5/9/02
RedArchon,Terran,Thailand,2012 StarCraft II World Championship Series: Southeast Asia Nationals top2,9/12/10,7/29/12,7/29/12,11/16/01
Kas,Terran,Ukraine,World Cyber Games 2011 top3,11/30/10,12/31/15,Active,1/30/05
Strelok,Terran,Ukraine,IEM Season VI - Global Challenge Guangzhou top8,5/12/10,6/5/15,6/5/15,1/23/05
DeMuslim,Terran,United Kingdom,IEM Europe season V Top3,5/9/10,12/31/15,Active,8/23/05
NonY,Terran,USA,MLG Dallas 2010 top4,5/23/10,3/3/13,3/3/13,10/11/02
qxc,Terran,USA,IEM Season V - American Championships top2,3/22/10,10/14/15,10/14/15,7/24/05
theognis,Terran,USA,,6/20/11,7/31/13,7/31/13,2/10/02
Illusion,Terran,USA,,6/30/11,12/31/15,Active,7/2/04
Xenocider,Terran,USA,,7/11/12,12/31/15,Active,6/21/03
mOOnGLaDe,Zerg,Australia,IEM Season V - World Championship top4,3/28/10,10/7/13,10/7/13,7/12/03
MaFia,Zerg,Australia,2012 StarCraft II World Championship Series: Oceania Finals top2,7/31/11,7/25/13,7/25/13,12/25/01
tgun,Zerg,Australia,2012 StarCraft II World Championship Series: Oceania Finals top4,3/30/11,7/31/13,7/31/13,5/3/02
PiG,Zerg,Australia,,10/23/11,12/31/15,Active,3/9/04
LoWeLy,Zerg,Belarus,World Cyber Games 2012 top4,12/9/10,1/2/14,1/2/14,1/24/03
Tunico,Zerg,Brazil,2012 World Championship Series: South America top4,7/27/10,2/20/14,2/20/14,7/27/03
Scarlett,Zerg,Canada,2013 ASUS ROG: NorthCon top2,9/17/11,12/31/15,Active,4/14/04
Ostojiy,Zerg,Canada,2012 World Championship Series: Canada top2,4/30/11,1/1/14,1/1/14,9/3/02
Kane,Zerg,Canada,2015 WCS Season 1 top8,11/19/11,12/31/15,Active,2/11/04
hendralisk,Zerg,Canada,,8/1/12,10/12/14,10/12/14,3/12/02
KiLLer,Zerg,Chile,IEM Season VI - Global Challenge New York top3,11/21/10,1/14/14,1/14/14,2/23/03
Luffy,Zerg,China,2010 BlizzCon top8,7/27/10,1/22/11,1/22/11,6/27/00
TooDming,Zerg,China,NESO 2015 winner,2/28/11,12/31/15,Active,11/1/04
Comm,Zerg,China,2012 StarCraft II World Championship Series: China Nationals winner,3/31/10,10/20/13,10/20/13,7/22/03
XiGua,Zerg,China,World Cyber Games 2011 top2,11/15/10,12/31/15,Active,2/14/05
Courage,Zerg,China,,11/7/11,12/31/15,Active,2/23/04
iAsonu,Zerg,China,,12/1/13,12/31/15,Active,1/29/02
Serral,Zerg,Finland,2015 WCS Season 1 top12,4/5/12,12/31/15,Active,9/26/03
Stephano,Zerg,France,2012 World Championship Series: Europe winner,8/29/10,12/31/15,Active,5/3/05
FireCake,Zerg,France,DreamHack ROCCAT LotV Championship top3,1/1/12,12/31/15,Active,12/30/03
